VARIABLES="N","h=N^(-1/3)","h^2=N^(-2/3)","CL","CD","CDp","CDv","CMy" "max_MUT"
ZONE, t="FUN3D-FV+refine, Mach-Lp=4, Step"
586 0.119499877841375 0.0142802208041035 -0.9473744+144 0.6334962+144 0.6334962+144 -0.1167865E+10 0.5275135+143 0
94713 0.0219379883920154 0.000481275334688204 -0.1665844E-02 0.2494825E-01 0.2345832E-01 0.1489930E-02 0.1164478E-02 0
120054 0.0202709664629247 0.000410912081341016 -0.5494520E-04 0.2009125E-01 0.7232449E-02 0.1285880E-01 -0.1793114E-03 0
119962 0.0202761471378431 0.000411122142755462 0.7058869E-04 0.1832044E-01 0.4767643E-02 0.1355280E-01 -0.3509081E-04 0
117481 0.0204178866487153 0.000416890095199788 0.2347815E-04 0.1547780E-01 0.3812655E-02 0.1166515E-01 -0.5355376E-06 0
117581 0.0204120966889704 0.000416653691239875 0.4486177E-04 0.1417097E-01 0.3489547E-02 0.1068143E-01 -0.2814445E-04 0
121469 0.0201919462401838 0.000407714692966472 -0.5319171E-04 0.1471568E-01 0.3892595E-02 0.1082308E-01 0.2519124E-04 0
125420 0.0199776500452395 0.000399106501330057 -0.1076794E-03 0.1509371E-01 0.4387408E-02 0.1070631E-01 0.1727040E-04 0
126262 0.0199331428244359 0.00039733018285936 -0.1541522E-03 0.1539617E-01 0.4788939E-02 0.1060723E-01 0.4278463E-04 0
125889 0.0199528102329021 0.000398114636190203 -0.1080998E-03 0.1579871E-01 0.5212739E-02 0.1058597E-01 0.3141346E-04 0
232549 0.0162615463458395 0.000264437889557887 -0.2158470E-04 0.1278555E-01 0.2335286E-02 0.1045026E-01 0.1283510E-04 0
237775 0.0161415264915407 0.000260548877477109 -0.3144766E-04 0.1271661E-01 0.2266249E-02 0.1045036E-01 0.9233422E-05 0
238193 0.0161320788185161 0.000260243967006817 -0.6573049E-04 0.1280618E-01 0.2355253E-02 0.1045093E-01 0.2326888E-04 0
239332 0.0161064468323269 0.000259417629562574 -0.2421805E-04 0.1289963E-01 0.2455049E-02 0.1044458E-01 0.9941646E-05 0
239579 0.0161009098134664 0.000259239296821379 0.4454982E-04 0.1292698E-01 0.2481694E-02 0.1044528E-01 -0.7512280E-05 0
345585 0.0142500057218991 0.000203062663074158 0.1245096E-04 0.1230454E-01 0.1850128E-02 0.1045441E-01 0.5119960E-05 0
348226 0.0142138895125137 0.000202034655073948 0.2372849E-04 0.1226708E-01 0.1800799E-02 0.1046628E-01 0.6533734E-06 0
350648 0.0141810877582231 0.000201103250006425 0.1866482E-04 0.1227516E-01 0.1812695E-02 0.1046246E-01 0.1148104E-06 0
350304 0.0141857282021654 0.000201234884625711 0.4199734E-04 0.1228100E-01 0.1822356E-02 0.1045865E-01 -0.5921737E-05 0
351039 0.014175820665149 0.000200953891530467 0.4590314E-04 0.1229029E-01 0.1822378E-02 0.1046791E-01 -0.1152429E-04 0
452829 0.0130223267814052 0.000169580994801703 0.1161898E-04 0.1204193E-01 0.1566271E-02 0.1047566E-01 -0.2753812E-05 0
455750 0.0129944461654444 0.000168855631146632 0.3501432E-04 0.1203499E-01 0.1555632E-02 0.1047936E-01 -0.1306676E-04 0
455904 0.0129929828675613 0.000168817603796741 0.1646414E-04 0.1203318E-01 0.1558472E-02 0.1047471E-01 -0.4149293E-05 0
456196 0.0129902101114379 0.000168745558739305 0.2706384E-04 0.1203770E-01 0.1562130E-02 0.1047557E-01 -0.5382788E-05 0
453562 0.0130153078863552 0.000169398239376619 0.4411223E-05 0.1204252E-01 0.1560847E-02 0.1048167E-01 -0.4174429E-06 0
554076 0.0121752219506675 0.000148236029548017 0.9049836E-05 0.1191531E-01 0.1436591E-02 0.1047872E-01 0.1768129E-05 0
556808 0.0121552765615135 0.00014775074828688 0.3532660E-05 0.1190873E-01 0.1426882E-02 0.1048185E-01 -0.2147418E-05 0
556186 0.0121598060806313 0.000147860883918558 0.1628841E-04 0.1190678E-01 0.1424246E-02 0.1048253E-01 -0.4740307E-05 0
