VARIABLES="N","h=(1/N)^(1/3)","h^2=(1/N)^(2/3)","C_L","C_D","C_Dp","C_Dv","C_My","max_MUT"
ZONE, t="FUN3D SA, FO turb, Adapted"
586 0.119499877841375 0.0142802208041035 -0.1592044+139 0.4349586+137 0.4349586+137 -0.2104287E+06 0.9212313+137 0
93949 0.0219972950173119 0.000483880988078656 -0.4067708E-03 0.2401661E-01 0.2171091E-01 0.2305707E-02 0.4655959E-03 0
116591 0.0204697084749636 0.000419008965049999 -0.4561579E-04 0.2478271E-01 0.7998000E-02 0.1678471E-01 -0.1707488E-04 0
117892 0.0203941317933246 0.000415920611603492 -0.2298571E-04 0.2372696E-01 0.5237411E-02 0.1848954E-01 -0.2142263E-04 0
114028 0.0206219389892545 0.000425264367676536 0.1644990E-04 0.2111870E-01 0.3908451E-02 0.1721025E-01 -0.8567333E-05 0
114245 0.0206088740935163 0.000424725691402405 0.6116113E-04 0.2028756E-01 0.3455072E-02 0.1683248E-01 -0.9312995E-04 0
116769 0.0204593019998173 0.000418583038319729 -0.4143483E-04 0.2058907E-01 0.3212441E-02 0.1737663E-01 0.2892149E-04 0
118937 0.0203342272760585 0.0004134807989144 0.1457024E-04 0.2176759E-01 0.3237337E-02 0.1853025E-01 0.4454879E-05 0
120561 0.0202425111018062 0.000409759255706747 0.7149238E-05 0.2261058E-01 0.3361136E-02 0.1924945E-01 0.2942235E-04 0
121688 0.0201798259225445 0.000407225374264199 -0.1944483E-04 0.2303976E-01 0.3526894E-02 0.1951286E-01 0.1277878E-04 0
226143 0.0164136669513054 0.000269408462788374 -0.2030035E-04 0.2111038E-01 0.2087175E-02 0.1902321E-01 0.2166830E-04 0
231707 0.0162812201436937 0.000265078129367419 0.6246269E-05 0.2051589E-01 0.2024598E-02 0.1849130E-01 0.8215870E-05 0
234320 0.0162204742223297 0.000263103783997261 -0.4079679E-04 0.2058231E-01 0.2085119E-02 0.1849719E-01 0.3879071E-04 0
234986 0.0162051356379425 0.000262606421044115 0.1758283E-04 0.2074730E-01 0.2095423E-02 0.1865188E-01 -0.2349007E-04 0
234785 0.0162097587373696 0.00026275627832373 -0.4040507E-04 0.2064987E-01 0.2113903E-02 0.1853596E-01 0.1747958E-04 0
234828 0.0162087692724926 0.000262724201328899 -0.1437813E-04 0.2059124E-01 0.2127070E-02 0.1846417E-01 -0.2824011E-04 0
235265 0.0161987272314508 0.000262398763918944 -0.6579496E-04 0.2051729E-01 0.2115212E-02 0.1840207E-01 -0.1205117E-05 0
234746 0.0162106563679781 0.000262785379880668 -0.1572805E-03 0.2063941E-01 0.2099978E-02 0.1853943E-01 0.7308079E-04 0
234555 0.0162150553295814 0.000262928019341386 -0.7831079E-04 0.2032491E-01 0.2115798E-02 0.1820911E-01 0.5182394E-04 0
234126 0.0162249531542527 0.000263249104857696 -0.3637894E-05 0.2029867E-01 0.2130147E-02 0.1816853E-01 -0.2243686E-04 0
334675 0.0144031972823223 0.000207452091953497 -0.4580695E-06 0.1918326E-01 0.1701872E-02 0.1748139E-01 -0.5436057E-05 0
341881 0.0143012833532652 0.000204526705550381 -0.2877741E-04 0.1879761E-01 0.1673899E-02 0.1712371E-01 0.9424830E-05 0
343179 0.0142832300742847 0.000204010661354952 0.1473938E-05 0.1877245E-01 0.1700219E-02 0.1707223E-01 -0.9597415E-05 0
344912 0.0142592680100877 0.000203326724183512 0.2077734E-04 0.1871409E-01 0.1701551E-02 0.1701254E-01 -0.2631735E-04 0
345446 0.0142519167636483 0.00020311713143796 -0.7546130E-04 0.1873566E-01 0.1710289E-02 0.1702537E-01 0.8440508E-04 0
344324 0.0142673802158605 0.000203558138223929 0.8821089E-06 0.1876282E-01 0.1707955E-02 0.1705486E-01 0.1597988E-04 0
344026 0.0142714985598946 0.000203675671145073 0.9683527E-05 0.1854328E-01 0.1704925E-02 0.1683835E-01 0.1673375E-04 0
343777 0.014274943375885 0.000203774008384723 0.1092381E-04 0.1858085E-01 0.1702798E-02 0.1687805E-01 0.7225120E-05 0
342557 0.0142918698017482 0.000204257542430123 0.1021856E-04 0.1843693E-01 0.1704955E-02 0.1673198E-01 -0.2408677E-05 0
343328 0.0142811635283713 0.000203951631724082 0.8758766E-04 0.1861842E-01 0.1702906E-02 0.1691551E-01 -0.7642906E-04 0
440197 0.0131457178655695 0.000172809898201154 0.5375943E-04 0.1762884E-01 0.1508924E-02 0.1611992E-01 -0.4073590E-04 0
446132 0.0130871639043042 0.000171273859058122 0.2869838E-04 0.1746432E-01 0.1493715E-02 0.1597061E-01 -0.1978154E-04 0
445933 0.0130891103538918 0.000171324809856358 0.3937652E-04 0.1740534E-01 0.1482198E-02 0.1592314E-01 -0.2890917E-04 0
446509 0.0130834795813735 0.000171177437956217 0.3579651E-04 0.1748743E-01 0.1482786E-02 0.1600465E-01 -0.3765852E-04 0
445668 0.0130917041583804 0.000171392717770553 0.1785535E-04 0.1737321E-01 0.1476428E-02 0.1589679E-01 -0.1973134E-04 0
447206 0.0130766788922119 0.000170999530850021 -0.3397263E-04 0.1742736E-01 0.1473691E-02 0.1595366E-01 0.2437417E-04 0
444415 0.0131039963573548 0.000171714720533567 -0.2099036E-04 0.1734159E-01 0.1464615E-02 0.1587698E-01 0.5191091E-05 0
447564 0.0130731913464406 0.000170908331980649 0.2890080E-04 0.1748516E-01 0.1465789E-02 0.1601937E-01 -0.1792098E-04 0
446285 0.013085668174788 0.000171234711580659 -0.6920584E-06 0.1719554E-01 0.1452269E-02 0.1574327E-01 -0.7762514E-05 0
446574 0.0130828447724828 0.000171160827340879 0.3103427E-05 0.1736589E-01 0.1457659E-02 0.1590823E-01 -0.1242834E-04 0
541032 0.0122722920659064 0.00015060915255091 0.1318840E-05 0.1676506E-01 0.1359456E-02 0.1540560E-01 -0.1331785E-04 0
543853 0.0122510362192229 0.00015008788844471 -0.2171231E-04 0.1686042E-01 0.1344649E-02 0.1551577E-01 0.1401704E-04 0
547029 0.0122272807229485 0.000149506393877787 -0.3096633E-04 0.1685713E-01 0.1342366E-02 0.1551477E-01 0.2379145E-04 0
547036 0.0122272285683492 0.000149505118462654 -0.1748456E-04 0.1674010E-01 0.1336700E-02 0.1540340E-01 0.1321508E-04 0
546192 0.0122335233449986 0.000149659093432626 -0.3786940E-04 0.1686498E-01 0.1344200E-02 0.1552078E-01 0.1361266E-04 0
545723 0.0122370268804335 0.000149744826872451 -0.2230227E-04 0.1677861E-01 0.1341442E-02 0.1543717E-01 0.2003201E-04 0
547272 0.0122254707338349 0.000149462134663854 0.1167322E-04 0.1670741E-01 0.1332994E-02 0.1537442E-01 -0.1622592E-04 0
545448 0.0122390830599447 0.000149795154148225 -0.4242369E-04 0.1674767E-01 0.1332838E-02 0.1541483E-01 0.2662044E-04 0
546255 0.0122330530264346 0.00014964758634756 -0.1076675E-04 0.1672115E-01 0.1333262E-02 0.1538789E-01 0.1057222E-04 0
546889 0.0122283240018408 0.000149531907893996 -0.3909535E-04 0.1682223E-01 0.1331758E-02 0.1549047E-01 0.3288037E-04 0
